OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
120,1762,17,DEVONSHIRE,VALLEY BUREAU,17A81,Bureau: VALLEY BUREAU\nDistrict: 1762\nDivision: DEVONSHIRE
121,1963,19,MISSION,VALLEY BUREAU,19A75,Bureau: VALLEY BUREAU\nDistrict: 1963\nDivision: MISSION
122,1772,17,DEVONSHIRE,VALLEY BUREAU,17A81,Bureau: VALLEY BUREAU\nDistrict: 1772\nDivision: DEVONSHIRE
123,1776,17,DEVONSHIRE,VALLEY BUREAU,17A95,Bureau: VALLEY BUREAU\nDistrict: 1776\nDivision: DEVONSHIRE
124,1766,17,DEVONSHIRE,VALLEY BUREAU,17A67,Bureau: VALLEY BUREAU\nDistrict: 1766\nDivision: DEVONSHIRE
125,1777,17,DEVONSHIRE,VALLEY BUREAU,17A95,Bureau: VALLEY BUREAU\nDistrict: 1777\nDivision: DEVONSHIRE
126,1778,17,DEVONSHIRE,VALLEY BUREAU,17A95,Bureau: VALLEY BUREAU\nDistrict: 1778\nDivision: DEVONSHIRE
127,1779,17,DEVONSHIRE,VALLEY BUREAU,17A95,Bureau: VALLEY BUREAU\nDistrict: 1779\nDivision: DEVONSHIRE
128,1961,19,MISSION,VALLEY BUREAU,19A61,Bureau: VALLEY BUREAU\nDistrict: 1961\nDivision: MISSION
129,1962,19,MISSION,VALLEY BUREAU,19A61,Bureau: VALLEY BUREAU\nDistrict: 1962\nDivision: MISSION
130,1967,19,MISSION,VALLEY BUREAU,19A79,Bureau: VALLEY BUREAU\nDistrict: 1967\nDivision: MISSION
131,1663,16,FOOTHILL,VALLEY BUREAU,16A77,Bureau: VALLEY BUREAU\nDistrict: 1663\nDivision: FOOTHILL
132,1669,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1669\nDivision: FOOTHILL
133,2101,21,TOPANGA,VALLEY BUREAU,21A1,Bureau: VALLEY BUREAU\nDistrict: 2101\nDivision: TOPANGA
